Method_Calls Precision varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
140,25.85,26.05,25.14,24.99,24.77
150,25.81,25.87,24.97,24.78,24.66
160,24.24,24.59,24.24,24.22,24.01
170,23.25,23.65,23.88,23.88,23.55
180,22.21,22.29,22.78,23.75,23.09
190,21.25,22.07,22.07,22.07,22.14
200,21.03,21.95,21.89,21.74,21.44
Return Recall varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,29.22,29.87,29.56,28.89,28.78
60,29.57,29.97,29.97,28.48,28.44
70,30.57,30.96,30.15,29.08,28.78
80,30.99,31.16,31.05,30.58,29.03
90,31.34,31.36,31.25,31.06,29.99
100,31.98,32.58,32.06,32.06,30.55
110,31.58,32.11,32.11,32.11,30.93
120,32.15,32.84,32.47,32.15,31.58
130,31.98,32.15,32.13,32.02,31.44
140,30.54,31.54,30.02,31.55,31.04
150,30.05,30.68,29.44,29.04,29.44
160,30.98,30.66,29.11,28.78,28.65
170,29.52,29.58,28.28,28.28,27.66
180,28.25,28.95,27.88,27.88,27.13
190,29.01,28.78,27.15,26.98,26.14
200,28.45,28.13,26.66,26.55,25.05
Other Recall varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,79.21,79.18,79.15,78.77,77.77
60,79.98,80.11,80.11,79.65,78.08
70,80.02,80.53,80.46,80.22,78.80
80,80.49,80.78,80.77,80.79,79.56
90,80.98,81.25,80.99,80.88,79.99
100,81.82,82.58,81.58,81.59,80.05
110,84.45,85.97,83.54,82.95,80.77
120,85.23,85.68,84.04,83.07,81.57
130,85.23,85.53,83.99,82.24,81.04
140,84.44,84.78,83.14,81.67,80.97
150,83.95,84.08,82.54,80.58,80.65
160,84.45,83.99,81.68,79.09,79.01
170,83.20,83.29,80.97,78.78,78.45
180,82.24,82.67,80.11,78.68,78.03
190,82.03,82.17,79.99,78.45,77.77
200,81.58,81.15,79.82,78.03,77.66
Overall Recall varying neurons and layers
Neurons,L=2,L=4,L=6,L=8,L=10
50,40.26,40.47,40.25,39.53,39.17
60,40.77,40.93,40.81,40.11,39.50
70,41.32,41.60,41.29,40.76,39.99
80,41.82,42.04,41.89,41.56,40.44
90,42.58,42.86,42.39,42.14,41.20
100,43.28,43.82,43.18,42.93,41.73
110,43.71,44.63,43.93,43.63,42.37
120,44.80,45.38,44.41,43.83,43.13
130,44.69,44.94,43.78,43.28,42.50
140,44.06,44.44,43.22,42.87,42.23
150,43.57,43.91,42.67,41.97,41.46
160,43.08,43.33,42.04,41.36,40.64
170,42.21,42.23,41.38,40.94,40.09
180,41.29,41.46,40.93,40.84,39.54
190,40.93,40.80,40.41,40.10,38.84
200,40.70,40.81,40.14,39.76,38.31
